Zillow Link	Photo	Full Name	Rating	Not sure	Brokerage	Range	Range of sold	sales last 12 months	Number of sales in past 12 mo	Sales where	Idk
https://www.zillow.com/profile/Adam-Dickinson	https://photos.zillowstatic.com/fp/10ba1dc92e137bdf5862ed1f519ab61d-h_l.jpg	adam dickinson	4.9	-67	Nest Realty	price range	$239K - $7M	sales last 12 months	33	sales in Durham	510
https://www.zillow.com/profile/jordanblee	https://photos.zillowstatic.com/fp/b4faac0a4059944639d37a07a422fe37-h_l.jpg	Jordan Lee	5	-168	Jordan Lee Real Estate	price range	$215K - $3.6M	sales last 12 months	49	sales in Durham	460
https://www.zillow.com/profile/larry7107	https://photos.zillowstatic.com/fp/2ce3ec3f33266c8d9c13a95dc1f7c874-h_l.jpg	Larry Tollen	5	-109	My NC Homes	No recent price range		No sales last 12 months		sales in Durham	15
https://www.zillow.com/profile/Kathryn-Washburn	https://photos.zillowstatic.com/fp/2b18e521f7feabcf7d38f70b7cf5cc31-h_l.jpg	Kathryn Washburn	5	-64	Berkshire Hathaway HomeServices YSU	price range	$415K - $1.3M	No sales last 12 months		sales in Durham	108
https://www.zillow.com/profile/SusanHertzRealtor	https://photos.zillowstatic.com/fp/f1f458b536bb81caac08cd1c0de07504-h_l.jpg	Susan Hertz	5	-68	Berkshire Hathaway HomeServices	price range	$182K - $1.1M	sales last 12 months	8	sales in Durham	649
https://www.zillow.com/profile/adamdoesdeals	https://photos.zillowstatic.com/fp/e56d99f6a047cb742daaae452f6035b4-h_l.jpg	Adam Grossman	5	-329	Grossman Real Estate Group	team price range	$15K - $2.9M	team sales last 12 months	56	team sales in Durham	326
https://www.zillow.com/profile/awilliams748	https://photos.zillowstatic.com/fp/e63670affe7b04737121a04edd0a2fe6-h_l.jpg	April Williams	5	-78	Inhabit Real Estate	team price range	$200K - $1.5M	team sales last 12 months	17	team sales in Durham	121
https://www.zillow.com/profile/billstevensonrdu	https://photos.zillowstatic.com/fp/d7e367300b49febfb18c7a60e1c4ea59-h_l.jpg	Bill Stevenson	5	-64	Spotlight Realty | Compass	price range	$91K - $2.7M	sales last 12 months	22	sales in Durham	274
https://www.zillow.com/profile/realestatetheholloway	https://photos.zillowstatic.com/fp/55919fddd94c2b6226af2e4bea524b89-h_l.jpg	Shanti Holloway	5	-109	Compass	price range	$178K - $760K	sales last 12 months	12	sales in Durham	82
https://www.zillow.com/profile/Inhabit-Real-Estate	https://photos.zillowstatic.com/fp/79ebb01adc00755f0de5f1c28e63546e-h_l.jpg	Inhabit LLC	5	-84	Inhabit Real Estate LLC	team price range	$140K - $5.2M	team sales last 12 months	136	team sales in Durham	390
https://www.zillow.com/profile/Umesh-Chokshi	https://photos.zillowstatic.com/fp/7af58c0c3a88f895f8f3cd166c0844ef-h_l.jpg	Umesh Chokshi	4.9	-109	Consult Realty Inc	No recent price range		No sales last 12 months		sales in Durham	43
